NAME,neighbourhood_group,neighbourhood,room_type,price,number_of_reviews,last_review
**BRIGHT NOLITA APT W DOORMAN/ELEVATORS/GYM**,Brooklyn,Greenpoint,Entire home/apt,144,328,29/06/2019
"VERY, VERY COZY PLACE",Manhattan,Kips Bay,Entire home/apt,200,19,25/03/2019
SUNNY & SPACIOUS CHELSEA APARTMENT,Brooklyn,Williamsburg,Entire home/apt,150,105,22/06/2019
2 BEDROOM - UPPER EAST SIDE-GREAT FOR KIDS,Manhattan,Lower East Side,Private room,110,19,18/05/2019
COMFORTABLE 4-BEDROOM APT IN FAMILY HOUSE.,Manhattan,Hell's Kitchen,Private room,69,289,09/06/2019
DOUBLE ROOM W PRIVATE DECK CLINTON HILL BEST AREA,Brooklyn,Greenpoint,Private room,49,138,04/06/2019
YOUR HEAVEN IN HELLS KITCHEN,Manhattan,SoHo,Entire home/apt,180,21,29/06/2019
"SUNNY, MODERN ROOM IN EAST VILLAGE!",Brooklyn,Williamsburg,Private room,80,42,30/06/2019
*HAVEN LOFT - ENTIRE FLOOR - SIX WINDOWS - BRICKS*,Manhattan,Chelsea,Entire home/apt,375,5,03/11/2018
LARGE ROOM IN AMAZING EAST VILLAGE APT,Manhattan,Upper East Side,Entire home/apt,250,66,30/03/2019
SPAHA LOFT: ENORMOUS AND BRIGHT,Brooklyn,Prospect Heights,Entire home/apt,200,143,26/01/2019
LOVELY EV ARTIST'S HOME,Brooklyn,Clinton Hill,Private room,55,27,30/09/2017
COOL ROOM IN HELL'S KITCHEN,Manhattan,Hell's Kitchen,Private room,52,191,16/05/2019
BLUE TRIM GUEST HOUSE,Manhattan,East Village,Private room,80,338,01/07/2019
CHARMING EAST VILLAGE ONE BEDROOM FLAT,Brooklyn,Williamsburg,Entire home/apt,275,148,23/06/2019
MANHATTAN ROOM,Manhattan,East Village,Private room,99,106,21/06/2019
LITTLE KING OF QUEENS,Manhattan,East Harlem,Entire home/apt,225,190,23/06/2019
FORT GREENE RETREAT ON THE PARK,Manhattan,East Village,Entire home/apt,230,49,14/05/2018
BEAUTIFUL MEATPACKING DISTRICT LOFT,Manhattan,Hell's Kitchen,Private room,51,23,01/06/2019
COZY 2 BR IN WILLIAMSBURG ,Manhattan,Washington Heights,Private room,65,49,18/06/2019
SPACIOUS LUMINOUS APT UPPER WEST NYC,Brooklyn,Clinton Hill,Private room,105,105,26/06/2019
ENTIRE 2 BEDROOM - LARGE & SUNNY,Manhattan,East Village,Entire home/apt,190,21,02/01/2019
"SUNNY, SPACIOUS TOP FLOOR HAVEN",Manhattan,Upper East Side,Private room,200,142,06/07/2019
PRIVATE ROOM GREAT DEAL AT LOWER EAST SIDE,Queens,Woodside,Private room,70,25,31/05/2019
PERFECT FOR A FAMILY OR SMALL GROUP,Brooklyn,Fort Greene,Private room,95,143,16/06/2019
2 BEDROOM WILLIAMSBURG APT - BEDFORD L STOP,Manhattan,Chelsea,Private room,150,167,28/05/2019
OH GLORIOUS SPRING!,Brooklyn,Williamsburg,Private room,145,61,22/04/2019
COZY BEDROOM IN WILLIAMSBURG 3 BR,Manhattan,Harlem,Entire home/apt,110,54,23/03/2019
SUNNY ROOM+PVTE OFFICE IN HUGE LOFT,Manhattan,Lower East Side,Entire home/apt,285,70,30/06/2019
SPACIOUS PROSPECT HEIGHTS APARTMENT,Brooklyn,Flatbush,Entire home/apt,130,16,15/06/2019
"LARGE PARLOR ROOM, LANDMARK HOME 1 BLOCK TO PRATT",Manhattan,Lower East Side,Private room,94,94,08/04/2019
2-BED BROWNSTONE DUPLEX + GARDEN,Brooklyn,Brooklyn Heights,Entire home/apt,800,25,04/08/2016
SUNNY APARTMENT IN ARTIST HOME,Brooklyn,Williamsburg,Entire home/apt,105,61,09/08/2018
LIGHT-FILLED CLASSIC CENTRAL PARK ,Manhattan,East Village,Private room,60,194,30/06/2019
COZY QUIET ROOM 4 DOOGLERS!,Brooklyn,Williamsburg,Private room,85,174,22/06/2019
THE STUYDIO MODERN AND LIGHT FILLED,Brooklyn,Bushwick,Private room,65,24,26/05/2019
LOFT BED - NEAR TRANSPORTATION-15MIN TO TIMES SQ,Brooklyn,Prospect Heights,Entire home/apt,131,166,27/06/2019
HOUSE ON HENRY (3RD FLR SUITE),Brooklyn,Clinton Hill,Private room,98,16,31/05/2019
MONKEY RETREAT MANHATTAN,Brooklyn,Prospect Heights,Entire home/apt,250,21,21/05/2019
"WILLIAMSBURG¬ÄîSTEPS TO SUBWAY, PRIVATE BATH&BALCONY",Brooklyn,Bushwick,Entire home/apt,105,118,18/06/2019
BEAUTIFUL DUPLEX APARTMENT,Manhattan,Upper West Side,Entire home/apt,140,81,07/07/2019
LARGE 2 BEDROOM GREAT FOR GROUPS!,Manhattan,Harlem,Private room,89,1,09/10/2018
"MODERN BROOKLYN APT., AUGUST SUBLET",Manhattan,Chelsea,Private room,98,30,01/05/2019
"1,800 SQ FOOT IN LUXURY BUILDING",Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,139,28/10/2018
SUNNY 2-STORY BROOKLYN TOWNHOUSE W DECK AND GARDEN,Manhattan,Harlem,Private room,60,11,03/01/2019
"TIMES SQUARE, SAFE, CLEAN AND COZY!",Brooklyn,Carroll Gardens,Entire home/apt,175,233,24/06/2019
"COZY ROOM #3, LANDMARK HOME 1 BLOCK TO PRATT",Manhattan,Washington Heights,Private room,65,68,01/11/2012
BEAUTIFUL APARTMENT EAST VILLAGE,Manhattan,West Village,Entire home/apt,500,46,18/05/2019
PARK SLOPE GREEN GUEST HOUSE,Brooklyn,Williamsburg,Private room,101,335,29/05/2019
2 BR / 2 BATH DUPLEX APT WITH PATIO! EAST VILLAGE,Brooklyn,Park Slope,Entire home/apt,220,88,02/11/2018
NYC FABULOUS VIEWS MANHATTAN'S EYE,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,162,28/06/2019
2 STORY FAMILY HOME IN WILLIAMSBURG,Brooklyn,Williamsburg,Entire home/apt,80,29,26/05/2018
COMFORTABLE UWS 2-BD FAMILY-FRIENDLY BROWNSTONE,Manhattan,Harlem,Private room,100,170,23/06/2019
GREAT LARGE 1 BR APT  IN EAST VILLAGE!,Brooklyn,Gowanus,Entire home/apt,200,19,17/03/2017
EVELAND PRIVATE BED & LIVING ROOM W/ OWN ENTRANCE,Manhattan,Hell's Kitchen,Private room,59,334,16/06/2019
SUGAR HILL REST STOP ,Brooklyn,Clinton Hill,Private room,125,19,02/06/2019
3 STORY TOWN HOUSE IN PARK SLOPE,Manhattan,East Village,Entire home/apt,140,12,11/12/2017
APARTMENT NEXT TO CENTRAL PARK,Brooklyn,South Slope,Entire home/apt,120,467,30/12/2018
LARGE 1  BR IN A 3 BR BROOKLYN APT. NEXT TO Q TRN.,Manhattan,East Village,Entire home/apt,350,7,09/08/2017
MODERN APT WITH SPECTACULAR VIEWS,Manhattan,Kips Bay,Entire home/apt,199,38,02/12/2015
GARDEN STUDIO IN THE UPPER EAST SID,Brooklyn,Williamsburg,Entire home/apt,325,324,23/06/2019
SECLUDED MASTER BEDROOM IN BEAUTIFUL HUGE APT,Manhattan,Upper West Side,Entire home/apt,235,27,27/04/2019
B & B ROOM 1,Manhattan,East Village,Entire home/apt,225,115,07/06/2019
ACCOMMODATIONS GALORE #1,Brooklyn,South Slope,Private room,99,354,20/05/2019
SUNNY ROOM IN NEW CONDO,Manhattan,Harlem,Entire home/apt,170,195,01/07/2019
STYLISH & SLEEK APARTMENT NEAR SOHO!,Brooklyn,South Slope,Entire home/apt,400,16,30/12/2018
UNIQUE & CHARMING SMALL 1BR APT. LES,Manhattan,Upper West Side,Entire home/apt,170,13,26/06/2019
LUMINOUS BEAUTIFUL WEST VILLAGE STUDIO,Brooklyn,Prospect-Lefferts Gardens,Private room,75,9,05/10/2018
SANCTUARY IN EAST FLATBUSH,Brooklyn,Williamsburg,Private room,90,9,18/09/2011
ROOM WITH EN SUITE BATHROOM & DECK,Manhattan,Upper East Side,Entire home/apt,150,21,15/08/2017
FLAT MACDONOUGH,Manhattan,Washington Heights,Private room,85,36,17/08/2017
HUGE PRIVATE  FLOOR AT THE WAVERLY,Brooklyn,Bedford-Stuyvesant,Private room,70,63,14/05/2019
"MODERN GREENPOINT, BROOKLYN APT",Manhattan,Harlem,Entire home/apt,120,155,20/06/2019
"SUN-DRENCHED, ARTSY MODERNIST 1 BDRM DUPLEX",Brooklyn,Clinton Hill,Private room,89,260,03/07/2019
FLAT MACDONOUGH GARDEN,Manhattan,East Village,Entire home/apt,185,73,25/06/2019
RETREAT IN WILLIAMSBURG,Manhattan,Lower East Side,Entire home/apt,105,32,14/06/2019
NYC ZEN,Manhattan,Hell's Kitchen,Private room,130,50,26/05/2019
COZY BR IN WILIAMSBURG 3 BEDROOM,Manhattan,West Village,Entire home/apt,115,26,01/07/2019
SUNNY ROOM IN OLD HISTORICAL BROOKLYN TOWNHOUSE,Brooklyn,Flatlands,Private room,77,2,01/01/2019
SUN FILLED CLASSIC WEST VILLAGE APT,Brooklyn,Clinton Hill,Private room,76,426,24/06/2019
LG RM IN HISTORIC PROSPECT HEIGHTS,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,227,23/06/2019
GREAT LOCATION. SPACIOUS ON PROSPECT PARK,Brooklyn,Clinton Hill,Private room,135,84,01/07/2019
PRIVATE BDRM/BATHRM. NEW! ELEVATOR!,Brooklyn,Greenpoint,Entire home/apt,250,3,30/07/2017
"SUNNY, CLEAN 1 BDRM IN W. VILLAGE",Brooklyn,Williamsburg,Entire home/apt,199,10,11/06/2018
LIGHT AND AIRY UPPER EAST SIDE 1 BDR APARTMENT,Queens,Flushing,Private room,140,1,19/09/2011
LUXURY BROWNSTONE IN BOERUM HILL,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,124,20/06/2019
CENTRAL PARK LOFT ALL FOR YOU,Brooklyn,Williamsburg,Entire home/apt,160,11,02/07/2019
INDIE-CHIC SHARE IN WILLIAMSBURG,Brooklyn,Williamsburg,Entire home/apt,195,240,17/06/2019
"A ROOM W/ A MANHATTAN VIEW, LONGER STAY",Manhattan,East Village,Entire home/apt,195,30,17/06/2019
LUXURIOUS CONDO IN DUBMO WITH VIEW,Brooklyn,Williamsburg,Private room,80,200,22/06/2019
CHARMING & COZY MIDTOWN LOFT ANY WEEK ENDS  !!!,Brooklyn,Fort Greene,Private room,44,27,29/06/2019
PARLOR ROOM IN VICTORIAN TOWNHOUSE,Manhattan,West Village,Private room,156,79,22/06/2019
HOUSE ON HENRY (2ND FLR SUITE),Brooklyn,Prospect Heights,Private room,85,9,10/05/2013
NEW YORK ROOM WITH A VIEW,Brooklyn,Williamsburg,Private room,125,155,13/06/2019
SUNNY COZY ROOM IN BRKLYN TOWNHOUSE,Brooklyn,Prospect Heights,Entire home/apt,115,4,27/08/2018
ROOM WITH A VIEW,Manhattan,East Harlem,Private room,69,34,29/05/2017
LIGHT+OPEN+AIRY+RUSTIC+MODERN LOFT,Manhattan,West Village,Entire home/apt,225,134,31/03/2019
WEST INN 2 - EAST VILLAGE,Brooklyn,Williamsburg,Entire home/apt,125,27,27/12/2018
BROOKLYN VICTORIAN STYLE SUITE.....,Manhattan,Upper East Side,Entire home/apt,219,126,26/06/2019
YOUR OWN LOVELY WEST VILLAGE STUDIO,Brooklyn,Boerum Hill,Entire home/apt,475,23,31/12/2018
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Manhattan,Upper East Side,Entire home/apt,99,234,08/06/2019
GREENWICH VILLAGE STYLISH APARTMENT,Brooklyn,Williamsburg,Private room,69,202,28/05/2019
BEAUTIFUL QUEENS BROWNSTONE! - 5BR,Queens,Sunnyside,Private room,79,28,12/04/2019
COULDN'T BE CLOSER TO COLUMBIA UNI,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,309,22/06/2019
PARK SLOPE HAVEN 15 MINS FROM SOHO,Brooklyn,DUMBO,Private room,250,14,25/04/2011
SAFE  AND BEAUTIFUL ACCOMODATION,Manhattan,Upper East Side,Entire home/apt,250,4,23/09/2016
"LARGE, COMFY 1BDR W/CHARACTER!!!",Brooklyn,Clinton Hill,Private room,70,294,24/06/2019
LUX APT IN TIMES SQUARE NEW BUILDING,Brooklyn,Carroll Gardens,Entire home/apt,165,150,18/06/2019
DESIGNER 1 BR DUPLEX W/ TERRACE- SPECTACULAR VIEWS,Staten Island,St. George,Private room,70,166,13/06/2019
LOVELY APT & GARDEN;  LEGAL;  BEST AREA; AMENITIES,Brooklyn,Bushwick,Private room,50,47,19/06/2019
LOWER EAST SIDE $57~/NIGHT,Bronx,Highbridge,Private room,40,219,04/07/2019
PRIME LOCATION IN MANHATTAN,Brooklyn,Williamsburg,Entire home/apt,150,193,06/07/2016
( F) EXCELLENT/PVT RM,Manhattan,East Village,Private room,125,84,23/06/2019
CLEAN AND CONVENIENT 2BR APARTMENT,Brooklyn,Fort Greene,Private room,110,213,24/06/2019
3 FLOORS OF LUXURY!,Manhattan,West Village,Entire home/apt,170,86,01/06/2019
THE INSTITUTE¬ÄîHEART OF WILLIAMSBURG,Manhattan,Harlem,Entire home/apt,165,80,26/05/2019
MIDTOWN WEST - LARGE ALCOVE STUDIO,Manhattan,West Village,Entire home/apt,150,38,20/04/2016
COZY BEDROOM BY YANKEE STADIUM,Queens,Ridgewood,Entire home/apt,350,10,12/05/2019
GREAT APARTMENT WITH PRIVATE BATHROOM AND ENTRANCE,Manhattan,Morningside Heights,Private room,99,122,14/05/2019
PRIVATE GARDEN APT ¬Ä¢ NEW RENOVATION,Brooklyn,Williamsburg,Entire home/apt,200,33,08/04/2019
MODERN COMFORT IN ART INFUSED LANDMARK BROWNSTONE,Brooklyn,Park Slope,Entire home/apt,150,52,05/06/2019
"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",Brooklyn,Bedford-Stuyvesant,Private room,90,126,19/05/2019
SLEEK & COMFORTABLE SOHO APT,Brooklyn,Prospect Heights,Private room,120,51,24/06/2019
SPACIOUS WILLIAMSBURG SHARE W/ LOFT BED,Manhattan,Upper East Side,Private room,75,199,24/06/2019
COZY EAST VILLAGE RAILROAD 1 BED!,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,30,03/09/2012
CITY ROOM - PRIVATE & COMFY BEDROOM,Manhattan,Hell's Kitchen,Entire home/apt,275,41,26/06/2019
ELEGANT NYC PAD,Manhattan,Lower East Side,Entire home/apt,299,109,15/06/2019
"CLEAN & BRIGHT 1BR IN COBBLE HILL, GREAT LOCATION!",Brooklyn,South Slope,Entire home/apt,135,151,22/06/2019
QUIET & CLEAN RETREAT IN THE CITY,Manhattan,Lower East Side,Private room,83,285,22/06/2019
STYLISH LARGE GRAMERCY LOFT!,Manhattan,Chelsea,Private room,123,375,18/06/2019
THE BROWNSTONE-LUXURY 1 BD APT/NYC,Queens,Jamaica,Private room,55,52,20/05/2019
"17 FLR. MANHATTAN VIEWS, NR. SUBWAY",Queens,Middle Village,Entire home/apt,98,33,09/05/2015
"SPACIOUS 1BR, ADORABLE CLEAN QUIET",Queens,Ridgewood,Private room,140,6,08/10/2015
"NICE, CLEAN, SAFE, CONVENIENT 3BR",Queens,Middle Village,Entire home/apt,265,38,27/04/2019
FRANKLIN ST FLAT IN TRENDY GREENPOINT BROOKLYN,Brooklyn,Williamsburg,Entire home/apt,249,358,20/06/2019
"ARTISTIC, COZY, AND SPACIOUS W/ PATIO! SLEEPS 5",Manhattan,Hell's Kitchen,Shared room,105,10,07/01/2014
"BEAUTIFUL, ELEGANT 3 BED SOHO LOFT",Brooklyn,Prospect Heights,Private room,100,226,06/06/2019
SPACIOUS GREENWICH VILLAGE APT,Manhattan,Harlem,Entire home/apt,121,104,22/06/2019
SPAHA STUDIO MONTHLY RENTAL,Bronx,Highbridge,Private room,45,138,30/06/2019
CITY ROOM - PRIVATE LUXURY SUITE,Manhattan,East Harlem,Private room,100,204,23/06/2019
PRIVATE ROOM/BATH LUXURIOUS HARLEM,Brooklyn,Williamsburg,Entire home/apt,140,253,02/07/2019
THE GEM OF THE EAST VILLAGE,Brooklyn,Bedford-Stuyvesant,Private room,71,23,01/07/2019
ACCOMMODATIONS GALORE #2,Manhattan,NoHo,Private room,130,115,05/12/2018
HUGE CHELSEA LOFT,Manhattan,West Village,Entire home/apt,199,129,19/05/2019
EXCLUSIVE ROOM WITH PRIVATE BATH IN  LES,Brooklyn,Williamsburg,Private room,69,82,10/06/2019
GREAT EAST VILLAGE APARTMENT RENTAL,Manhattan,East Village,Entire home/apt,130,204,01/07/2019
BROWNSTONE SUNDRENCHED BEAUTY,Brooklyn,Greenpoint,Entire home/apt,195,69,13/06/2019
A SPECIAL!! PRIVATE ROOM IN NY,Manhattan,Harlem,Private room,64,192,03/06/2019
C PRIVATE ROOM BY THE FERRY,Queens,Ditmars Steinway,Entire home/apt,140,17,17/06/2019
SMALLEST HOUSE IN THE VILLAGE,Brooklyn,Cobble Hill,Entire home/apt,159,222,24/06/2019
BEAUTIFUL LANDMARKED DUPLEX,Manhattan,Hell's Kitchen,Entire home/apt,250,94,09/06/2019
BROOKLYN > GUEST ROOM W/ QUEEN BED IN WILLIAMSBURG,Manhattan,East Village,Entire home/apt,239,7,24/05/2019
D PRIVATE CHE@P ROOM 2 EXPLORE NYC,Manhattan,Flatiron District,Entire home/apt,305,108,30/06/2019
SAFE CUTE NEAR SUBWAY& MANHATTAN NY NY RETRO STYLE,Manhattan,Harlem,Entire home/apt,155,222,26/06/2019
LARGE AND COZY PRIVATE BEDROOM,Manhattan,Harlem,Private room,60,458,03/07/2019
DOMINIQUE'S NY MINI EFFICIENCY* WIFI*METRO*QUIET,Brooklyn,Windsor Terrace,Private room,135,21,17/05/2019
"PRIVATE, LARGE & SUNNY TOP FLOOR APT  W/W&D",Manhattan,Roosevelt Island,Private room,120,17,08/05/2019
COTTAGE IN THE VILLAGE,Manhattan,Lower East Side,Entire home/apt,150,41,02/01/2019
BEDROOM1 FOR RENT 10MIN FROM MANHAN,Queens,Ridgewood,Entire home/apt,140,1,17/09/2012
WILLIAMSBURG NEAR SOHO. / LOFTBED,Brooklyn,Greenpoint,Entire home/apt,135,69,19/05/2019
BROOKLYN  STUDIO APARTMENT,Manhattan,Chinatown,Entire home/apt,250,18,01/07/2019
CROWN HEIGHTS GARDEN APT.,Manhattan,SoHo,Entire home/apt,500,94,23/06/2019
AMAZING  SUNNY & BREEZY HOME IN THE HEART OF  NYC,Manhattan,Greenwich Village,Entire home/apt,225,10,11/05/2019
ENJOY DOWNTOWN NYC!!,Manhattan,East Harlem,Entire home/apt,125,183,29/09/2018
CHARMING UWS TREEHOUSE APT,Manhattan,Harlem,Private room,92,189,11/06/2019
SHARE A HOME - $75 FOR 1 BDRM/++ FOR 2 - BROOKLYN,Manhattan,Harlem,Private room,175,1,07/10/2018
CHARMING EAST VILLAGE 2 (OR 1) BR,Manhattan,East Village,Entire home/apt,99,127,20/06/2019
BRIGHT+SPACIOUS WILLIAMSBURG ABODE!,Manhattan,East Harlem,Entire home/apt,140,135,20/06/2019
BEAUTIFUL 1 BEDROOM APT PARK SLOPE,Manhattan,Chelsea,Entire home/apt,500,35,27/07/2017
PRIVATE BEDROOM BROWNSTONE BROOKLYN,Manhattan,Chinatown,Private room,120,171,23/06/2019
EAST VILLAGE LOFT WITH PIANO & PATIO,Manhattan,Midtown,Entire home/apt,110,92,30/04/2019
LOWER EAST SIDE MAGIC ROOM,Brooklyn,East Flatbush,Entire home/apt,65,238,14/06/2019
**FANTASTIC WILLIAMSBURG APT**,Manhattan,East Village,Entire home/apt,130,56,26/05/2019
WEST HARLEM HOME BASE - ECO-APT.,Brooklyn,Bushwick,Entire home/apt,99,111,22/06/2019
CHARMING GARDEN APT IN PARK SLOPE,Staten Island,Tompkinsville,Private room,36,193,25/06/2019
CENTRAL PARK 1BR SUNNY CONDO,Staten Island,Tompkinsville,Private room,37,177,02/07/2019
COZY GARDEN APARTMENT  IN WILLIAMSBURG,Manhattan,East Village,Entire home/apt,175,185,24/05/2019
SOHA COMFORT-BY NW CENTRAL PARK!,Manhattan,Chelsea,Entire home/apt,205,62,21/06/2019
COZY ROOM IN UPPER WEST SIDE,Brooklyn,Greenpoint,Entire home/apt,285,124,16/06/2019
COZY PRIVATE ROOM IN APARTMENT,Brooklyn,Williamsburg,Private room,59,181,23/06/2019
THE COZY BROWNSTONE INN (DISCOUNT)!,Staten Island,Tompkinsville,Private room,36,333,02/07/2019
PREWAR PENTHOUSE W PRIVATE TERRACE,Queens,Astoria,Entire home/apt,99,441,24/06/2019
DESIGNER 2.5 BR LOFT IN CARROLL GARDENS BY SUBWAY,Brooklyn,Kensington,Private room,39,45,16/05/2019
UNIQUE SPACIOUS LOFT ON THE BOWERY,Bronx,Eastchester,Entire home/apt,105,38,27/06/2019
"NICE RENOVATED APT, PRIME LOCATION!",Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,248,25/06/2019
BROOKLYN WRITER'S NOOK,Manhattan,East Village,Entire home/apt,390,143,19/06/2019
PRIVATE BEDROOM IN LARGE NYC APARTMENT,Brooklyn,Bedford-Stuyvesant,Private room,70,36,19/08/2018
GREAT LARGE 3 BR/2 BATH DUPLEX WITH PRIVATE PATIO!,Brooklyn,Williamsburg,Private room,60,14,07/01/2019
ALL THAT JAZZ. UPTOWN STYLE ON SUGAR HILL.,Brooklyn,Crown Heights,Private room,100,279,24/06/2019
BRIGHT AND LOVELY 1 BDRM APT IN LES,Brooklyn,Bedford-Stuyvesant,Private room,70,18,02/01/2019
GIGANTIC PRIVATE BROOKLYN LOFT!,Brooklyn,Crown Heights,Private room,60,227,27/06/2019
CONDO APARTMENT WITH LAUNDRY IN UNIT,Manhattan,Little Italy,Entire home/apt,90,1,02/01/2019
PRIVATE ROOM IN COZY GREENPOINT,Manhattan,East Village,Private room,68,203,23/06/2019
FOOD & MUSIC DREAM APARTMENT IN WILLIAMSBURG,Manhattan,Upper West Side,Entire home/apt,115,210,06/07/2019
FRENCH GARDEN COTTAGE OFF BEDFORD,Brooklyn,Bedford-Stuyvesant,Private room,75,64,05/01/2019
ALCOVE STUDIO W/ OUTDOOR PATIO DECK,Manhattan,East Village,Entire home/apt,129,5,03/01/2019
LUXURY 3 BED/ 2 BATH APT IN HARLEM W/ TERRACE,Brooklyn,Williamsburg,Entire home/apt,130,49,29/06/2019
ONE BEDROOM MINI STUDIO - FREE WIFI,Brooklyn,Williamsburg,Entire home/apt,95,132,07/07/2019
BROOKLYN > GUEST ROOM W/ KING BED IN WILLIAMSBURG,Manhattan,Harlem,Private room,75,20,02/01/2019
BRIGHT COZY CHINATOWN STUDIO APT.,Brooklyn,Park Slope,Entire home/apt,175,11,02/05/2013
EVELAND THE PLACE TO STAY & ENJOY A 5-¬≠êœ∏è 2BDRM,Brooklyn,Carroll Gardens,Entire home/apt,190,51,01/07/2019
SUPERIOR @ BOX HOUSE,Brooklyn,Crown Heights,Private room,49,15,30/06/2019
HELLS KITCHEN GARDEN OF EDEN,Manhattan,East Village,Entire home/apt,212,67,25/06/2019
